x y z meta\\
1.04 1.75 1367.29 1367.29\\
1.06 1.75 1368.19 1368.19\\
1.07 1.75 1369.04 1369.04\\
1.09 1.75 1369.85 1369.85\\
1.10 1.75 1370.61 1370.61\\
1.12 1.75 1371.33 1371.33\\
1.14 1.75 1372.01 1372.01\\
1.15 1.75 1372.64 1372.64\\
1.17 1.75 1373.22 1373.22\\
1.18 1.75 1373.76 1373.76\\
1.20 1.75 1374.26 1374.26\\
1.22 1.75 1374.71 1374.71\\
1.23 1.75 1375.11 1375.11\\
1.25 1.75 1375.47 1375.47\\
1.26 1.75 1375.79 1375.79\\
1.28 1.75 1376.06 1376.06\\
1.30 1.75 1376.29 1376.29\\
1.31 1.75 1376.47 1376.47\\
1.33 1.75 1376.60 1376.60\\
1.34 1.75 1376.70 1376.70\\
1.36 1.75 1376.74 1376.74\\
1.38 1.75 1376.74 1376.74\\
1.39 1.75 1376.70 1376.70\\
1.41 1.75 1376.61 1376.61\\
1.42 1.75 1376.48 1376.48\\
1.44 1.75 1376.30 1376.30\\
1.46 1.75 1376.08 1376.08\\
1.47 1.75 1375.81 1375.81\\
1.49 1.75 1375.50 1375.50\\
1.50 1.75 1375.14 1375.14\\
1.52 1.75 1374.74 1374.74\\
1.54 1.75 1374.29 1374.29\\
1.55 1.75 1373.80 1373.80\\
1.57 1.75 1373.26 1373.26\\
1.58 1.75 1372.68 1372.68\\
1.60 1.75 1372.05 1372.05\\
1.62 1.75 1371.38 1371.38\\
1.63 1.75 1370.67 1370.67\\
1.65 1.75 1369.91 1369.91\\
1.66 1.75 1369.10 1369.10\\
1.68 1.75 1368.25 1368.25\\
1.70 1.75 1367.35 1367.35\\
1.71 1.75 1366.41 1366.41\\
1.73 1.75 1365.43 1365.43\\
1.74 1.75 1364.40 1364.40\\
1.76 1.75 1363.32 1363.32\\
1.78 1.75 1362.20 1362.20\\
1.79 1.75 1361.03 1361.03\\
1.81 1.75 1359.82 1359.82\\
1.82 1.75 1358.57 1358.57\\
1.84 1.75 1357.27 1357.27\\
1.86 1.75 1355.92 1355.92\\
1.87 1.75 1354.54 1354.54\\
1.89 1.75 1353.10 1353.10\\
1.90 1.75 1351.62 1351.62\\
1.92 1.75 1350.10 1350.10\\
1.94 1.75 1348.53 1348.53\\
1.95 1.75 1346.91 1346.91\\
1.97 1.75 1345.26 1345.26\\
1.98 1.75 1343.55 1343.55\\
2.00 1.75 1341.80 1341.80\\
2.02 1.75 1340.01 1340.01\\
2.03 1.75 1338.17 1338.17\\
2.05 1.75 1336.29 1336.29\\
2.06 1.75 1334.36 1334.36\\
2.08 1.75 1332.39 1332.39\\
2.10 1.75 1330.37 1330.37\\
2.11 1.75 1328.31 1328.31\\
2.13 1.75 1326.20 1326.20\\
2.14 1.75 1324.05 1324.05\\
2.16 1.75 1321.85 1321.85\\
2.18 1.75 1319.61 1319.61\\
2.19 1.75 1317.32 1317.32\\
2.21 1.75 1314.99 1314.99\\
2.22 1.75 1312.61 1312.61\\
2.24 1.75 1310.19 1310.19\\
2.26 1.75 1307.72 1307.72\\
2.27 1.75 1305.21 1305.21\\
2.29 1.75 1302.65 1302.65\\
2.30 1.75 1300.05 1300.05\\
2.32 1.75 1297.41 1297.41\\
2.34 1.75 1294.72 1294.72\\
2.35 1.75 1291.98 1291.98\\
2.37 1.75 1289.20 1289.20\\
2.38 1.75 1286.37 1286.37\\
2.40 1.75 1283.50 1283.50\\
2.42 1.75 1280.59 1280.59\\
2.43 1.75 1277.63 1277.63\\
2.45 1.75 1274.62 1274.62\\
2.46 1.75 1271.57 1271.57\\
2.48 1.75 1268.48 1268.48\\
2.50 1.75 1265.34 1265.34\\
2.51 1.75 1262.15 1262.15\\
2.53 1.75 1258.92 1258.92\\
2.54 1.75 1255.65 1255.65\\
2.56 1.75 1252.33 1252.33\\
2.58 1.75 1248.97 1248.97\\
2.59 1.75 1245.56 1245.56\\
2.61 1.75 1242.10 1242.10\\
2.62 1.75 1238.61 1238.61\\
2.64 1.75 1235.06 1235.06\\
2.66 1.75 1231.47 1231.47\\
2.67 1.75 1227.84 1227.84\\
2.69 1.75 1224.16 1224.16\\
2.70 1.75 1220.44 1220.44\\
2.72 1.75 1216.67 1216.67\\
2.74 1.75 1212.86 1212.86\\
2.75 1.75 1209.00 1209.00\\
2.77 1.75 1205.10 1205.10\\
2.78 1.75 1201.15 1201.15\\
2.80 1.75 1197.16 1197.16\\
2.82 1.75 1193.12 1193.12\\
2.83 1.75 1189.04 1189.04\\
2.85 1.75 1184.91 1184.91\\
2.86 1.75 1180.74 1180.74\\
2.88 1.75 1176.52 1176.52\\
2.90 1.75 1172.26 1172.26\\
2.91 1.75 1167.95 1167.95\\
2.93 1.75 1163.60 1163.60\\
2.94 1.75 1159.21 1159.21\\
2.96 1.75 1154.77 1154.77\\
2.98 1.75 1150.28 1150.28\\
2.99 1.75 1145.75 1145.75\\
0.00 1.76 1215.25 1215.25\\
0.02 1.76 1219.07 1219.07\\
0.03 1.76 1222.84 1222.84\\
0.05 1.76 1226.57 1226.57\\
0.06 1.76 1230.25 1230.25\\
0.08 1.76 1233.89 1233.89\\
0.10 1.76 1237.48 1237.48\\
0.11 1.76 1241.03 1241.03\\
0.13 1.76 1244.54 1244.54\\
0.14 1.76 1248.00 1248.00\\
0.16 1.76 1251.41 1251.41\\
0.18 1.76 1254.78 1254.78\\
0.19 1.76 1258.10 1258.10\\
0.21 1.76 1261.38 1261.38\\
0.22 1.76 1264.62 1264.62\\
0.24 1.76 1267.81 1267.81\\
0.26 1.76 1270.95 1270.95\\
0.27 1.76 1274.05 1274.05\\
0.29 1.76 1277.11 1277.11\\
0.30 1.76 1280.12 1280.12\\
0.32 1.76 1283.08 1283.08\\
0.34 1.76 1286.00 1286.00\\
0.35 1.76 1288.88 1288.88\\
0.37 1.76 1291.71 1291.71\\
0.38 1.76 1294.49 1294.49\\
0.40 1.76 1297.24 1297.24\\
0.42 1.76 1299.93 1299.93\\
0.43 1.76 1302.58 1302.58\\
0.45 1.76 1305.19 1305.19\\
0.46 1.76 1307.75 1307.75\\
0.48 1.76 1310.27 1310.27\\
0.50 1.76 1312.74 1312.74\\
0.51 1.76 1315.17 1315.17\\
0.53 1.76 1317.55 1317.55\\
0.54 1.76 1319.89 1319.89\\
0.56 1.76 1322.18 1322.18\\
0.58 1.76 1324.42 1324.42\\
0.59 1.76 1326.63 1326.63\\
0.61 1.76 1328.78 1328.78\\
0.62 1.76 1330.90 1330.90\\
0.64 1.76 1332.97 1332.97\\
0.66 1.76 1334.99 1334.99\\
0.67 1.76 1336.97 1336.97\\
0.69 1.76 1338.90 1338.90\\
0.70 1.76 1340.79 1340.79\\
0.72 1.76 1342.63 1342.63\\
0.74 1.76 1344.43 1344.43\\
0.75 1.76 1346.18 1346.18\\
0.77 1.76 1347.89 1347.89\\
0.78 1.76 1349.56 1349.56\\
0.80 1.76 1351.18 1351.18\\
0.82 1.76 1352.75 1352.75\\
0.83 1.76 1354.28 1354.28\\
0.85 1.76 1355.76 1355.76\\
0.86 1.76 1357.20 1357.20\\
0.88 1.76 1358.60 1358.60\\
0.90 1.76 1359.95 1359.95\\
0.91 1.76 1361.25 1361.25\\
0.93 1.76 1362.51 1362.51\\
0.94 1.76 1363.73 1363.73\\
0.96 1.76 1364.90 1364.90\\
0.98 1.76 1366.02 1366.02\\
0.99 1.76 1367.10 1367.10\\
1.01 1.76 1368.14 1368.14\\
1.02 1.76 1369.13 1369.13\\
1.04 1.76 1370.08 1370.08\\
1.06 1.76 1370.98 1370.98\\
1.07 1.76 1371.83 1371.83\\
1.09 1.76 1372.64 1372.64\\
1.10 1.76 1373.41 1373.41\\
1.12 1.76 1374.13 1374.13\\
1.14 1.76 1374.81 1374.81\\
1.15 1.76 1375.44 1375.44\\
1.17 1.76 1376.03 1376.03\\
1.18 1.76 1376.57 1376.57\\
1.20 1.76 1377.07 1377.07\\
1.22 1.76 1377.52 1377.52\\
1.23 1.76 1377.93 1377.93\\
1.25 1.76 1378.29 1378.29\\
1.26 1.76 1378.61 1378.61\\
1.28 1.76 1378.88 1378.88\\
1.30 1.76 1379.11 1379.11\\
1.31 1.76 1379.29 1379.29\\
1.33 1.76 1379.43 1379.43\\
1.34 1.76 1379.52 1379.52\\
1.36 1.76 1379.57 1379.57\\
1.38 1.76 1379.57 1379.57\\
1.39 1.76 1379.53 1379.53\\
1.41 1.76 1379.45 1379.45\\
1.42 1.76 1379.31 1379.31\\
1.44 1.76 1379.14 1379.14\\
1.46 1.76 1378.92 1378.92\\
1.47 1.76 1378.65 1378.65\\
1.49 1.76 1378.34 1378.34\\
1.50 1.76 1377.99 1377.99\\
1.52 1.76 1377.59 1377.59\\
1.54 1.76 1377.14 1377.14\\
1.55 1.76 1376.65 1376.65\\
1.57 1.76 1376.12 1376.12\\
1.58 1.76 1375.54 1375.54\\
1.60 1.76 1374.91 1374.91\\
1.62 1.76 1374.24 1374.24\\
1.63 1.76 1373.53 1373.53\\
1.65 1.76 1372.77 1372.77\\
1.66 1.76 1371.96 1371.96\\
1.68 1.76 1371.11 1371.11\\
1.70 1.76 1370.22 1370.22\\
1.71 1.76 1369.28 1369.28\\
1.73 1.76 1368.30 1368.30\\
1.74 1.76 1367.27 1367.27\\
1.76 1.76 1366.19 1366.19\\
1.78 1.76 1365.08 1365.08\\
1.79 1.76 1363.91 1363.91\\
1.81 1.76 1362.71 1362.71\\
1.82 1.76 1361.45 1361.45\\
1.84 1.76 1360.15 1360.15\\
1.86 1.76 1358.81 1358.81\\
1.87 1.76 1357.42 1357.42\\
1.89 1.76 1355.99 1355.99\\
1.90 1.76 1354.51 1354.51\\
1.92 1.76 1352.99 1352.99\\
1.94 1.76 1351.42 1351.42\\
1.95 1.76 1349.81 1349.81\\
1.97 1.76 1348.16 1348.16\\
1.98 1.76 1346.45 1346.45\\
2.00 1.76 1344.71 1344.71\\
2.02 1.76 1342.92 1342.92\\
2.03 1.76 1341.08 1341.08\\
2.05 1.76 1339.20 1339.20\\
2.06 1.76 1337.27 1337.27\\
2.08 1.76 1335.30 1335.30\\
2.10 1.76 1333.28 1333.28\\
2.11 1.76 1331.22 1331.22\\
2.13 1.76 1329.12 1329.12\\
2.14 1.76 1326.97 1326.97\\
2.16 1.76 1324.77 1324.77\\
2.18 1.76 1322.53 1322.53\\
2.19 1.76 1320.25 1320.25\\
2.21 1.76 1317.92 1317.92\\
2.22 1.76 1315.54 1315.54\\
2.24 1.76 1313.12 1313.12\\
2.26 1.76 1310.66 1310.66\\
2.27 1.76 1308.15 1308.15\\
2.29 1.76 1305.59 1305.59\\
2.30 1.76 1302.99 1302.99\\
2.32 1.76 1300.35 1300.35\\
2.34 1.76 1297.66 1297.66\\
2.35 1.76 1294.93 1294.93\\
2.37 1.76 1292.15 1292.15\\
2.38 1.76 1289.32 1289.32\\
2.40 1.76 1286.46 1286.46\\
2.42 1.76 1283.54 1283.54\\
2.43 1.76 1280.58 1280.58\\
2.45 1.76 1277.58 1277.58\\
2.46 1.76 1274.53 1274.53\\
2.48 1.76 1271.44 1271.44\\
2.50 1.76 1268.30 1268.30\\
2.51 1.76 1265.12 1265.12\\
2.53 1.76 1261.89 1261.89\\
2.54 1.76 1258.62 1258.62\\
2.56 1.76 1255.30 1255.30\\
2.58 1.76 1251.94 1251.94\\
2.59 1.76 1248.53 1248.53\\
2.61 1.76 1245.08 1245.08\\
2.62 1.76 1241.58 1241.58\\
2.64 1.76 1238.04 1238.04\\
2.66 1.76 1234.45 1234.45\\
2.67 1.76 1230.82 1230.82\\
2.69 1.76 1227.15 1227.15\\
2.70 1.76 1223.43 1223.43\\
2.72 1.76 1219.66 1219.66\\
2.74 1.76 1215.85 1215.85\\
2.75 1.76 1211.99 1211.99\\
2.77 1.76 1208.09 1208.09\\
2.78 1.76 1204.15 1204.15\\
2.80 1.76 1200.16 1200.16\\
2.82 1.76 1196.12 1196.12\\
2.83 1.76 1192.04 1192.04\\
2.85 1.76 1187.92 1187.92\\
2.86 1.76 1183.75 1183.75\\
2.88 1.76 1179.53 1179.53\\
2.90 1.76 1175.27 1175.27\\
2.91 1.76 1170.97 1170.97\\
2.93 1.76 1166.62 1166.62\\
2.94 1.76 1162.22 1162.22\\
2.96 1.76 1157.78 1157.78\\
2.98 1.76 1153.30 1153.30\\
2.99 1.76 1148.77 1148.77\\
0.00 1.77 1217.90 1217.90\\
0.02 1.77 1221.72 1221.72\\
0.03 1.77 1225.50 1225.50\\
0.05 1.77 1229.23 1229.23\\
0.06 1.77 1232.91 1232.91\\
0.08 1.77 1236.55 1236.55\\
0.10 1.77 1240.15 1240.15\\
0.11 1.77 1243.70 1243.70\\
0.13 1.77 1247.20 1247.20\\
0.14 1.77 1250.66 1250.66\\
0.16 1.77 1254.08 1254.08\\
0.18 1.77 1257.45 1257.45\\
0.19 1.77 1260.78 1260.78\\
0.21 1.77 1264.06 1264.06\\
0.22 1.77 1267.30 1267.30\\
0.24 1.77 1270.49 1270.49\\
0.26 1.77 1273.63 1273.63\\
0.27 1.77 1276.74 1276.74\\
0.29 1.77 1279.79 1279.79\\
0.30 1.77 1282.81 1282.81\\
0.32 1.77 1285.77 1285.77\\
0.34 1.77 1288.69 1288.69\\
0.35 1.77 1291.57 1291.57\\
0.37 1.77 1294.40 1294.40\\
0.38 1.77 1297.19 1297.19\\
0.40 1.77 1299.94 1299.94\\
0.42 1.77 1302.63 1302.63\\
0.43 1.77 1305.29 1305.29\\
0.45 1.77 1307.89 1307.89\\
0.46 1.77 1310.46 1310.46\\
0.48 1.77 1312.98 1312.98\\
0.50 1.77 1315.45 1315.45\\
0.51 1.77 1317.88 1317.88\\
0.53 1.77 1320.26 1320.26\\
0.54 1.77 1322.60 1322.60\\
0.56 1.77 1324.90 1324.90\\
0.58 1.77 1327.15 1327.15\\
0.59 1.77 1329.35 1329.35\\
0.61 1.77 1331.51 1331.51\\
0.62 1.77 1333.62 1333.62\\
0.64 1.77 1335.69 1335.69\\
0.66 1.77 1337.72 1337.72\\
0.67 1.77 1339.70 1339.70\\
0.69 1.77 1341.63 1341.63\\
0.70 1.77 1343.52 1343.52\\
0.72 1.77 1345.37 1345.37\\
0.74 1.77 1347.17 1347.17\\
0.75 1.77 1348.92 1348.92\\
0.77 1.77 1350.64 1350.64\\
0.78 1.77 1352.30 1352.30\\
0.80 1.77 1353.92 1353.92\\
0.82 1.77 1355.50 1355.50\\
0.83 1.77 1357.03 1357.03\\
0.85 1.77 1358.52 1358.52\\
0.86 1.77 1359.96 1359.96\\
0.88 1.77 1361.35 1361.35\\
0.90 1.77 1362.71 1362.71\\
0.91 1.77 1364.01 1364.01\\
0.93 1.77 1365.27 1365.27\\
0.94 1.77 1366.49 1366.49\\
0.96 1.77 1367.66 1367.66\\
0.98 1.77 1368.79 1368.79\\
0.99 1.77 1369.87 1369.87\\
1.01 1.77 1370.91 1370.91\\
1.02 1.77 1371.90 1371.90\\
1.04 1.77 1372.85 1372.85\\
1.06 1.77 1373.75 1373.75\\
1.07 1.77 1374.61 1374.61\\
1.09 1.77 1375.43 1375.43\\
1.10 1.77 1376.19 1376.19\\
1.12 1.77 1376.92 1376.92\\
1.14 1.77 1377.60 1377.60\\
1.15 1.77 1378.23 1378.23\\
1.17 1.77 1378.82 1378.82\\
1.18 1.77 1379.36 1379.36\\
1.20 1.77 1379.86 1379.86\\
1.22 1.77 1380.32 1380.32\\
1.23 1.77 1380.72 1380.72\\
1.25 1.77 1381.09 1381.09\\
1.26 1.77 1381.41 1381.41\\
1.28 1.77 1381.68 1381.68\\
1.30 1.77 1381.91 1381.91\\
1.31 1.77 1382.10 1382.10\\
1.33 1.77 1382.24 1382.24\\
1.34 1.77 1382.33 1382.33\\
1.36 1.77 1382.38 1382.38\\
1.38 1.77 1382.39 1382.39\\
1.39 1.77 1382.35 1382.35\\
1.41 1.77 1382.27 1382.27\\
1.42 1.77 1382.14 1382.14\\
1.44 1.77 1381.96 1381.96\\
1.46 1.77 1381.74 1381.74\\
1.47 1.77 1381.48 1381.48\\
1.49 1.77 1381.17 1381.17\\
1.50 1.77 1380.82 1380.82\\
1.52 1.77 1380.42 1380.42\\
1.54 1.77 1379.97 1379.97\\
1.55 1.77 1379.49 1379.49\\
1.57 1.77 1378.95 1378.95\\
1.58 1.77 1378.38 1378.38\\
1.60 1.77 1377.75 1377.75\\
1.62 1.77 1377.09 1377.09\\
1.63 1.77 1376.37 1376.37\\
1.65 1.77 1375.61 1375.61\\
1.66 1.77 1374.81 1374.81\\
1.68 1.77 1373.97 1373.97\\
1.70 1.77 1373.07 1373.07\\
1.71 1.77 1372.14 1372.14\\
1.73 1.77 1371.15 1371.15\\
1.74 1.77 1370.13 1370.13\\
1.76 1.77 1369.06 1369.06\\
1.78 1.77 1367.94 1367.94\\
1.79 1.77 1366.78 1366.78\\
1.81 1.77 1365.57 1365.57\\
1.82 1.77 1364.32 1364.32\\
1.84 1.77 1363.02 1363.02\\
1.86 1.77 1361.68 1361.68\\
1.87 1.77 1360.30 1360.30\\
1.89 1.77 1358.87 1358.87\\
1.90 1.77 1357.39 1357.39\\
1.92 1.77 1355.87 1355.87\\
1.94 1.77 1354.31 1354.31\\
1.95 1.77 1352.70 1352.70\\
1.97 1.77 1351.04 1351.04\\
1.98 1.77 1349.34 1349.34\\
2.00 1.77 1347.60 1347.60\\
2.02 1.77 1345.81 1345.81\\
2.03 1.77 1343.97 1343.97\\
2.05 1.77 1342.09 1342.09\\
2.06 1.77 1340.17 1340.17\\
2.08 1.77 1338.20 1338.20\\
2.10 1.77 1336.19 1336.19\\
2.11 1.77 1334.13 1334.13\\
2.13 1.77 1332.02 1332.02\\
2.14 1.77 1329.87 1329.87\\
2.16 1.77 1327.68 1327.68\\
2.18 1.77 1325.44 1325.44\\
2.19 1.77 1323.16 1323.16\\
2.21 1.77 1320.83 1320.83\\
2.22 1.77 1318.46 1318.46\\
2.24 1.77 1316.04 1316.04\\
2.26 1.77 1313.58 1313.58\\
2.27 1.77 1311.07 1311.07\\
2.29 1.77 1308.52 1308.52\\
2.30 1.77 1305.92 1305.92\\
2.32 1.77 1303.28 1303.28\\
2.34 1.77 1300.59 1300.59\\
2.35 1.77 1297.86 1297.86\\
2.37 1.77 1295.08 1295.08\\
2.38 1.77 1292.26 1292.26\\
2.40 1.77 1289.39 1289.39\\
2.42 1.77 1286.48 1286.48\\
2.43 1.77 1283.52 1283.52\\
2.45 1.77 1280.52 1280.52\\
2.46 1.77 1277.48 1277.48\\
2.48 1.77 1274.39 1274.39\\
2.50 1.77 1271.25 1271.25\\
2.51 1.77 1268.07 1268.07\\
2.53 1.77 1264.84 1264.84\\
2.54 1.77 1261.57 1261.57\\
2.56 1.77 1258.26 1258.26\\
2.58 1.77 1254.90 1254.90\\
2.59 1.77 1251.49 1251.49\\
2.61 1.77 1248.04 1248.04\\
2.62 1.77 1244.55 1244.55\\
2.64 1.77 1241.01 1241.01\\
2.66 1.77 1237.42 1237.42\\
2.67 1.77 1233.79 1233.79\\
2.69 1.77 1230.12 1230.12\\
2.70 1.77 1226.40 1226.40\\
2.72 1.77 1222.63 1222.63\\
2.74 1.77 1218.83 1218.83\\
2.75 1.77 1214.97 1214.97\\
2.77 1.77 1211.07 1211.07\\
2.78 1.77 1207.13 1207.13\\
2.80 1.77 1203.14 1203.14\\
2.82 1.77 1199.11 1199.11\\
2.83 1.77 1195.03 1195.03\\
2.85 1.77 1190.91 1190.91\\
2.86 1.77 1186.74 1186.74\\
2.88 1.77 1182.52 1182.52\\
2.90 1.77 1178.27 1178.27\\
2.91 1.77 1173.96 1173.96\\
2.93 1.77 1169.62 1169.62\\
2.94 1.77 1165.22 1165.22\\
2.96 1.77 1160.79 1160.79\\
2.98 1.77 1156.30 1156.30\\
2.99 1.77 1151.78 1151.78\\
0.00 1.78 1220.54 1220.54\\
0.02 1.78 1224.36 1224.36\\
0.03 1.78 1228.14 1228.14\\
0.05 1.78 1231.87 1231.87\\
0.06 1.78 1235.56 1235.56\\
0.08 1.78 1239.20 1239.20\\
0.10 1.78 1242.80 1242.80\\
0.11 1.78 1246.35 1246.35\\
0.13 1.78 1249.86 1249.86\\
0.14 1.78 1253.32 1253.32\\
0.16 1.78 1256.74 1256.74\\
0.18 1.78 1260.11 1260.11\\
0.19 1.78 1263.44 1263.44\\
0.21 1.78 1266.72 1266.72\\
0.22 1.78 1269.96 1269.96\\
0.24 1.78 1273.15 1273.15\\
0.26 1.78 1276.30 1276.30\\
0.27 1.78 1279.41 1279.41\\
0.29 1.78 1282.47 1282.47\\
0.30 1.78 1285.48 1285.48\\
0.32 1.78 1288.45 1288.45\\
0.34 1.78 1291.37 1291.37\\
0.35 1.78 1294.25 1294.25\\
0.37 1.78 1297.09 1297.09\\
0.38 1.78 1299.88 1299.88\\
0.40 1.78 1302.62 1302.62\\
0.42 1.78 1305.32 1305.32\\
0.43 1.78 1307.98 1307.98\\
0.45 1.78 1310.59 1310.59\\
0.46 1.78 1313.15 1313.15\\
0.48 1.78 1315.67 1315.67\\
0.50 1.78 1318.15 1318.15\\
0.51 1.78 1320.58 1320.58\\
0.53 1.78 1322.96 1322.96\\
0.54 1.78 1325.30 1325.30\\
0.56 1.78 1327.60 1327.60\\
0.58 1.78 1329.85 1329.85\\
0.59 1.78 1332.06 1332.06\\
0.61 1.78 1334.22 1334.22\\
0.62 1.78 1336.34 1336.34\\
0.64 1.78 1338.41 1338.41\\
0.66 1.78 1340.43 1340.43\\
0.67 1.78 1342.42 1342.42\\
0.69 1.78 1344.35 1344.35\\
0.70 1.78 1346.24 1346.24\\
0.72 1.78 1348.09 1348.09\\
0.74 1.78 1349.89 1349.89\\
0.75 1.78 1351.65 1351.65\\
0.77 1.78 1353.36 1353.36\\
0.78 1.78 1355.03 1355.03\\
0.80 1.78 1356.66 1356.66\\
0.82 1.78 1358.23 1358.23\\
0.83 1.78 1359.77 1359.77\\
0.85 1.78 1361.25 1361.25\\
0.86 1.78 1362.70 1362.70\\
0.88 1.78 1364.10 1364.10\\
0.90 1.78 1365.45 1365.45\\
0.91 1.78 1366.76 1366.76\\
0.93 1.78 1368.02 1368.02\\
0.94 1.78 1369.24 1369.24\\
0.96 1.78 1370.42 1370.42\\
0.98 1.78 1371.54 1371.54\\
0.99 1.78 1372.63 1372.63\\
1.01 1.78 1373.67 1373.67\\
1.02 1.78 1374.66 1374.66\\
1.04 1.78 1375.61 1375.61\\
1.06 1.78 1376.52 1376.52\\
1.07 1.78 1377.38 1377.38\\
1.09 1.78 1378.19 1378.19\\
1.10 1.78 1378.96 1378.96\\
1.12 1.78 1379.69 1379.69\\
1.14 1.78 1380.37 1380.37\\
1.15 1.78 1381.00 1381.00\\
1.17 1.78 1381.59 1381.59\\
1.18 1.78 1382.14 1382.14\\
1.20 1.78 1382.64 1382.64\\
1.22 1.78 1383.10 1383.10\\
1.23 1.78 1383.51 1383.51\\
1.25 1.78 1383.88 1383.88\\
1.26 1.78 1384.20 1384.20\\
1.28 1.78 1384.47 1384.47\\
1.30 1.78 1384.70 1384.70\\
1.31 1.78 1384.89 1384.89\\
1.33 1.78 1385.03 1385.03\\
1.34 1.78 1385.13 1385.13\\
1.36 1.78 1385.18 1385.18\\
1.38 1.78 1385.19 1385.19\\
1.39 1.78 1385.15 1385.15\\
1.41 1.78 1385.07 1385.07\\
1.42 1.78 1384.94 1384.94\\
1.44 1.78 1384.77 1384.77\\
1.46 1.78 1384.55 1384.55\\
1.47 1.78 1384.29 1384.29\\
1.49 1.78 1383.98 1383.98\\
1.50 1.78 1383.63 1383.63\\
1.52 1.78 1383.24 1383.24\\
1.54 1.78 1382.80 1382.80\\
1.55 1.78 1382.31 1382.31\\
1.57 1.78 1381.78 1381.78\\
1.58 1.78 1381.20 1381.20\\
1.60 1.78 1380.58 1380.58\\
1.62 1.78 1379.91 1379.91\\
1.63 1.78 1379.20 1379.20\\
1.65 1.78 1378.45 1378.45\\
1.66 1.78 1377.65 1377.65\\
1.68 1.78 1376.80 1376.80\\
1.70 1.78 1375.91 1375.91\\
1.71 1.78 1374.98 1374.98\\
1.73 1.78 1374.00 1374.00\\
1.74 1.78 1372.97 1372.97\\
1.76 1.78 1371.90 1371.90\\
1.78 1.78 1370.79 1370.79\\
1.79 1.78 1369.63 1369.63\\
1.81 1.78 1368.42 1368.42\\
1.82 1.78 1367.18 1367.18\\
1.84 1.78 1365.88 1365.88\\
1.86 1.78 1364.54 1364.54\\
1.87 1.78 1363.16 1363.16\\
1.89 1.78 1361.73 1361.73\\
1.90 1.78 1360.26 1360.26\\
1.92 1.78 1358.74 1358.74\\
1.94 1.78 1357.17 1357.17\\
1.95 1.78 1355.57 1355.57\\
1.97 1.78 1353.91 1353.91\\
1.98 1.78 1352.21 1352.21\\
2.00 1.78 1350.47 1350.47\\
2.02 1.78 1348.68 1348.68\\
2.03 1.78 1346.85 1346.85\\
2.05 1.78 1344.97 1344.97\\
2.06 1.78 1343.05 1343.05\\
2.08 1.78 1341.08 1341.08\\
2.10 1.78 1339.07 1339.07\\
2.11 1.78 1337.02 1337.02\\
2.13 1.78 1334.91 1334.91\\
2.14 1.78 1332.77 1332.77\\
